Node,Community
AATF,0
BAX,1
CDKN1A,1
KLK3,0
MYC,1
TP53,1
ABL1,1
BCL2,1
BCL6,1
CCND2,1
CSF1,1
FOXO3,1
JUN,2
PIM1,3
AES,4
EPHA3,4
LEF1,4
RND3,4
AHR,5
ABCG2,6
AHRR,5
ARNT,5
BRCA1,7
CA9,8
CCND1,1
CCNG2,4
CYP1A1,5
CYP1A2,5
CYP1B1,1
CYP2B6,5
FOS,2
IL13,1
IL1B,3
IL6,10
MFSD2A,5
MT2A,5
PCNA,1
RFC3,5
UGT1A1,5
UGT1A6,5
AIP,11
GREB1,11
NFKB2,12
RSF1,11
TFF1,11
AIRE,13
CHRNA1,13
ANKRD1,14
NPPA,14
APBB1,15
GMPS,15
APC,11
AKT1,3
AMHR2,11
BIRC5,1
DLG1,11
DNMT1,6
F8,3
KLF4,15
NOS2,3
ODC1,11
PTGS2,2
SGK1,11
APEX1,3
CCL2,3
CD19,1
CYP11B2,0
NFKB1,3
PTH,15
RELA,3
SLC5A5,5
AR,0
ACTA1,2
AKR1C3,0
ALDH1A3,0
ARG1,0
ARG2,0
ATAD2,0
BSG,12
BTG1,14
BTG2,0
CDK20,0
CDC6,1
CDH1,6
CDH11,0
CDH2,6
CDK6,12
CLK3,0
CRH,11
CRISP1,0
CRISP3,6
CTNNB1,4
CYP7B1,0
EGFR,0
ELK4,11
EP300,1
ERBB2,17
ERBB3,6
ETV1,5
FKBP4,10
FN1,6
FOLH1,0
FOXA1,5
GNMT,0
GTF2F1,0
HMMR,0
HMOX1,11
IFI16,0
IGF1R,0
IGFBP3,6
KISS1,0
KISS1R,0
KLF5,1
KLK1,18
KLK2,0
KLK4,0
MED1,0
MID1,0
MUC1,7
NAT1,10
NDRG1,18
NKX3-1,0
NOV,0
NRAS,0
PC,0
PSCA,0
PEBP1,6
PIGR,3
PIP,15
PMEPA1,0
PNRC1,0
PTEN,6
PTPN1,0
REST,17
SEPT7,0
SERPINB5,0
SESN1,0
SRD5A3,0
STIM1,0
TBP,2
TCF7L2,4
TGFA,11
TH,17
TJP1,6
TMPRSS2,0
TRPS1,0
TSC1,0
TSC2,0
UCN,0
UGT2B15,5
USP26,0
VEGFA,8
VIM,6
WEE1,0
WNT7B,0
XIAP,3
ARID1A,18
IGH,18
SMAD3,11
ARID1B,18
ARID3A,1
CDK1,1
CR2,3
E2F1,1
PML,3
RBL1,1
BHLHE40,15
CCNE1,1
CDK2,1
CTSD,11
EGLN2,5
EPO,18
ESR1,11
GAD1,6
HIF1A,8
RELB,3
ARNTL,15
CRY1,15
CRY2,15
PER1,15
PER2,15
PER3,15
ARNTL2,11
SERPINE1,11
ARX,14
KDM5C,14
LMO1,14
PAX4,14
SHOX2,14
ASCL1,12
CHRNA3,12
CHRNA5,12
CHRNB4,12
DKK1,6
IGF2,0
PCSK6,12
TPH1,12
ASH1L,15
TGFB1,11
TIMP1,15
ASXL1,5
FABP4,5
ATF1,17
CCNA1,0
CFTR,5
CGA,17
CYP11B1,5
FLT1,8
FTH1,17
GABPA,17
IL10,3
LDHA,17
MAP1LC3B,10
MITF,4
MUC2,12
NTS,2
PCSK1,17
PLAUR,2
SLC20A1,17
SLC22A8,17
TGFB2,11
TOP2A,1
USP7,7
ATF2,2
APOC3,5
ATF3,10
DUSP1,1
DUSP10,2
FAS,8
FASLG,3
KAT5,15
IFNB1,3
IFNG,3
IMPDH2,2
INS,5
ITGB8,2
MAP3K1,2
MMP2,6
NOS3,14
PCK1,5
PCK2,2
PLAT,2
PLAU,2
POLB,2
RETN,2
ST3GAL5,2
TNF,10
ADIPOR1,10
ADIPOR2,10
AK4,10
ASNS,10
CCL5,3
CD82,10
DDIT3,10
GDF15,6
ID1,10
PCLAF,1
LDLR,5
PENK,10
SELE,3
ATF4,10
APOE,1
ATG5,10
BGLAP,0
CEBPB,10
CHAC1,10
CXCL8,10
DDIT4,0
DDR2,10
DISC1,10
F7,10
FGF19,10
FGF21,10
HRK,10
HSPA5,10
IGFBP1,10
IRF7,3
MCL1,10
NDC80,17
NUPR1,1
S100P,0
SIGMAR1,10
SIRT1,10
SIRT2,10
TNFRSF10B,10
TRIB3,10
ATF5,10
CCND3,10
CREB1,17
EGR1,18
