Gene,Community
AATF,1
BAX,1
CDKN1A,1
KLK3,6
MYC,1
TP53,1
ABL1,11
NFKB1,2
RELA,2
PML,1
HIF1A,9
PER1,9
ATM,1
SP1,0
STAT1,2
TP63,8
NR3C1,13
DMAP1,1
MYCN,1
TP73,1
ELL,1
ERCC2,1
ETS1,4
GFI1,4
ING1,1
ING4,1
MLLT10,1
MLLT3,1
PAX5,1
WWTR1,13
BCL6,11
JUN,10
BRCA1,9
KLF4,8
AR,6
EP300,15
TBP,3
ARID1A,1
SMAD3,9
E2F1,1
ESR1,6
ATF2,10
CEBPB,4
NUPR1,11
SIRT1,9
SIRT2,13
EGR1,0
HDAC7,5
STAT3,11
RB1,1
IRF9,11
E2F3,1
RUNX3,4
CBX8,1
PPARG,3
CDX2,3
VDR,5
HSF1,6
POU5F1,12
SOX9,7
CREBBP,15
IRF1,2
RARA,3
EZH2,8
TAF4,0
WT1,5
HDAC1,12
DNMT3A,12
EAPP,0
EBF3,1
EHMT2,1
PARP1,8
ETS2,4
JUNB,10
PTMA,4
ZFHX3,6
ESR2,6
TFAP2A,0
ETV6,1
FHL2,1
TCF3,6
SMAD4,9
SMAD7,10
FOXG1,1
KLF2,12
FOXP3,2
FUBP1,1
HBP1,1
HDAC2,8
HDAC4,9
HNF4A,3
HIPK2,1
JUND,10
KAT2B,9
KLF10,0
KLF16,1
KLF6,0
LCOR,8
SP3,0
TFAP4,0
NCOA1,9
NELFCD,7
NFIA,10
NFIB,7
NFIX,11
NPM1,1
REL,2
TBX3,8
SMAD2,7
SMARCA4,8
SOX6,1
ZNF300,13
TAF1,6
TAF5,1
TBX2,8
TFAP2C,0
TSC22D3,11
ZBTB17,11
ZBTB2,1
ZBTB5,1
ZNF76,17
BTG2,6
NKX3-1,6
TRPS1,6
RUNX1,4
RUNX2,6
FOXP1,6
PGR,13
SIN3A,15
FUS,6
NCOA4,6
PA2G4,6
RREB1,6
SPDEF,6
SRCAP,6
ASS1,9
ATF3,13
AXIN2,3
BAG2,1
BCL2,7
BMI1,1
BRD7,1
CAD,8
CBFB,4
CCNA2,1
CCNB1,1
CCND1,9
CCND2,11
CCNE1,3
PROM1,14
CD33,1
CD38,2
CDC25C,7
CDC34,1
CDCA7,1
CDH3,2
CDK2,1
CDK4,2
CDK6,6
CEBPA,4
CFLAR,2
CHEK1,1
CHEK2,1
CXCR4,14
CYP3A4,3
DDX18,1
DKK1,12
EBNA1BP2,1
FASLG,10
FMR1,14
FOXM1,1
FTH1P18,1
FUT3,1
GATA1,4
GATA4,5
HLA-A,1
HLA-B,1
HLA-C,1
HLA-E,1
HLA-F,1
HLA-G,1
HNRNPA1,1
HNRNPA2B1,9
HSPA4,6
ID2,1
IER3,2
IFNA1,2
IGF2BP1,1
IGK,1
