Summary
"Community 0: 3.8% activators, 4.4% repressors, 6.4% dual; FDR=1.000. Pro-repression module."
"Community 1: 5.1% activators, 7.9% repressors, 12.0% dual; FDR=1.000. Pro-repression module."
"Community 2: 3.8% activators, 3.1% repressors, 10.0% dual; FDR=1.000. Pro-activation module."
"Community 3: 8.3% activators, 4.8% repressors, 11.7% dual; FDR=1.000. Pro-activation module."
"Community 4: 2.6% activators, 3.6% repressors, 8.9% dual; FDR=1.000. Pro-repression module."
"Community 5: 7.8% activators, 3.4% repressors, 11.7% dual; FDR=1.000. Pro-activation module."
"Community 6: 6.4% activators, 8.7% repressors, 12.2% dual; FDR=1.000. Pro-repression module."
"Community 7: 9.5% activators, 4.1% repressors, 14.8% dual; FDR=0.011. Pro-activation module."
"Community 8: 3.8% activators, 8.2% repressors, 17.0% dual; FDR=1.000. Pro-repression module."
"Community 9: 8.4% activators, 9.1% repressors, 11.9% dual; FDR=1.000. Pro-repression module."
"Community 10: 3.6% activators, 5.0% repressors, 10.0% dual; FDR=1.000. Pro-repression module."
"Community 11: 6.2% activators, 4.7% repressors, 14.8% dual; FDR=1.000. Pro-activation module."
"Community 12: 7.0% activators, 7.0% repressors, 7.0% dual; FDR=1.000. Mixed module."
"Community 13: 8.2% activators, 8.2% repressors, 15.3% dual; FDR=1.000. Mixed module."
"Community 14: 9.5% activators, 3.6% repressors, 6.0% dual; FDR=0.283. Pro-activation module."
"Community 15: 6.6% activators, 9.8% repressors, 8.2% dual; FDR=1.000. Pro-repression module."
"Community 16: 3.4% activators, 0.0% repressors, 3.4% dual; FDR=0.011. Pro-activation module."
"Community 17: 16.7% activators, 0.0% repressors, 16.7% dual; FDR=1.000. Pro-activation module."
"Community 18: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 19: 25.0% activators, 25.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 20: 0.0% activators, 33.3% repressors, 0.0% dual; FDR=1.000. Pro-repression module."
"Community 21: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 22: 0.0% activators, 33.3% repressors, 0.0% dual; FDR=1.000. Pro-repression module."
"Community 23: 0.0% activators, 66.7% repressors, 0.0% dual; FDR=1.000. Pro-repression module."
"Community 24: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 25: 0.0% activators, 50.0% repressors, 0.0% dual; FDR=1.000. Pro-repression module."
"Community 26: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 27: 0.0% activators, 50.0% repressors, 0.0% dual; FDR=1.000. Pro-repression module."
"Community 28: 0.0% activators, 50.0% repressors, 0.0% dual; FDR=1.000. Pro-repression module."
"Community 29: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 30: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 31: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 32: 0.0% activators, 50.0% repressors, 0.0% dual; FDR=1.000. Pro-repression module."
"Community 33: 50.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Pro-activation module."
"Community 34: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 35: 50.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Pro-activation module."
"Community 36: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 37: 50.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Pro-activation module."
"Community 38: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 39: 50.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Pro-activation module."
"Community 40: 0.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Mixed module."
"Community 41: 50.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Pro-activation module."
"Community 42: 100.0% activators, 0.0% repressors, 0.0% dual; FDR=1.000. Pro-activation module."
