Community,Summary
0.0,"RNA polymerase II regulation, metal ion binding, chromatin remodeling processes."
1.0,"RNA polymerase II regulation, chromatin remodeling, apoptosis, metal ion binding processes."
2.0,"RNA polymerase II regulation, immune response, cytokine signaling, metal ion binding processes."
3.0,"RNA polymerase II regulation, chromatin remodeling, metal ion binding processes."
4.0,"RNA polymerase II regulation, immune response, metal ion binding processes."
5.0,"RNA polymerase II regulation, chromatin remodeling, metal ion binding processes."
6.0,"RNA polymerase II regulation, chromatin remodeling, metal ion binding processes."
7.0,"RNA polymerase II regulation, metal ion binding, chromatin remodeling processes."
8.0,"RNA polymerase II regulation, chromatin remodeling, metal ion binding processes."
9.0,"RNA polymerase II regulation, metal ion binding, chromatin remodeling processes."
10.0,"RNA polymerase II regulation, metal ion binding, chromatin remodeling processes."
11.0,"RNA polymerase II regulation, chromatin remodeling processes."
12.0,"RNA polymerase II regulation, apoptosis, chromatin remodeling, metal ion binding processes."
13.0,"RNA polymerase II regulation, chromatin remodeling, apoptosis, metal ion binding processes."
14.0,"RNA polymerase II regulation, chromatin remodeling, metal ion binding processes."
15.0,"immune response, RNA polymerase II regulation processes."
16.0,"membrane transport, metal ion binding processes."
17.0,metal ion binding processes.
18.0,"apoptosis, membrane transport, metal ion binding processes."
19.0,"RNA polymerase II regulation, chromatin remodeling processes."
20.0,"RNA polymerase II regulation, immune response, chromatin remodeling, membrane transport, metal ion binding processes."
21.0,"chromatin remodeling, RNA polymerase II regulation, metal ion binding processes."
22.0,"RNA polymerase II regulation, chromatin remodeling processes."
23.0,"RNA polymerase II regulation, chromatin remodeling processes."
24.0,RNA polymerase II regulation processes.
25.0,"membrane transport, RNA polymerase II regulation, chromatin remodeling processes."
26.0,"apoptosis, membrane transport processes."
27.0,"chromatin remodeling, metal ion binding processes."
28.0,"apoptosis, membrane transport processes."
29.0,RNA polymerase II regulation processes.
30.0,"RNA polymerase II regulation, chromatin remodeling processes."
31.0,RNA polymerase II regulation processes.
32.0,"chromatin remodeling, RNA polymerase II regulation processes."
33.0,"apoptosis, membrane transport, metal ion binding processes."
34.0,"apoptosis, membrane transport processes."
35.0,"RNA polymerase II regulation, apoptosis, membrane transport processes."
36.0,"apoptosis, membrane transport processes."
37.0,"membrane transport, RNA polymerase II regulation processes."
38.0,"apoptosis, membrane transport processes."
39.0,"RNA polymerase II regulation, apoptosis processes."
40.0,"transcription initiation, chromatin remodeling, RNA polymerase II regulation, metal ion binding processes."
41.0,"apoptosis, membrane transport processes."
42.0,"RNA polymerase II regulation, chromatin remodeling processes."
