Community,Activator,Dual,Repressor,Unknown
0,13,22,15,294
1,15,35,23,219
2,11,29,9,242
3,19,27,11,173
4,5,17,7,163
5,14,21,6,138
6,11,21,15,125
7,16,25,7,121
8,6,27,13,113
9,12,17,13,101
10,5,14,7,114
11,8,19,6,95
12,7,7,7,79
13,7,13,7,58
14,8,5,3,68
15,4,5,6,46
16,1,1,0,27
17,1,1,0,4
18,0,0,0,5
19,1,0,1,2
20,0,0,1,2
21,0,0,0,3
22,0,0,1,2
23,0,0,2,1
24,0,0,0,2
25,0,0,1,1
26,0,0,0,2
27,0,0,1,1
28,0,0,1,1
29,0,0,0,2
30,0,0,0,2
31,0,0,0,2
32,0,0,1,1
33,1,0,0,1
34,0,0,0,2
35,1,0,0,1
36,0,0,0,2
37,1,0,0,1
38,0,0,0,2
39,1,0,0,1
40,0,0,0,2
41,1,0,0,1
42,1,0,0,0
