Gene,TFRole
AATF,Dual
ABL1,Dual
AES,Activator
AHR,Dual
AIP,Dual
AIRE,Unknown
ANKRD1,Repressor
APBB1,Repressor
APC,Dual
APEX1,Dual
AR,Dual
ARID1A,Activator
ARID1B,Activator
ARID3A,Activator
ARNT,Dual
ARNTL,Activator
ARNTL2,Activator
ARX,Unknown
ASCL1,Repressor
ASH1L,Unknown
ASXL1,Unknown
ATF1,Dual
ATF2,Dual
ATF3,Dual
ATF4,Dual
ATF5,Dual
ATF6,Dual
ATF7,Activator
ATM,Dual
ATOH1,Activator
ATRX,Repressor
BACH1,Dual
BACH2,Repressor
BARD1,Activator
BARX2,Unknown
BATF,Unknown
BCL11A,Activator
BCL3,Dual
BCL6,Dual
BDP1,Unknown
BHLHE41,Repressor
BIN1,Unknown
BMI1,Repressor
BPTF,Unknown
BRCA1,Dual
BRCA2,Unknown
BRD7,Dual
BRIP1,Unknown
BRPF1,Unknown
BTAF1,Repressor
BTF3,Dual
BTG2,Dual
CBFA2T3,Repressor
CBFB,Unknown
CBX7,Dual
CBX8,Repressor
CDC5L,Unknown
CDCA7L,Repressor
CDX1,Activator
CDX2,Dual
CEBPA,Dual
CEBPB,Dual
CEBPD,Dual
CEBPE,Repressor
CEBPG,Activator
CEBPZ,Dual
CHD4,Repressor
CHD8,Activator
CIITA,Dual
CITED2,Repressor
CLOCK,Dual
CNBP,Unknown
CNOT7,Unknown
CNOT8,Unknown
COPS5,Dual
CRABP2,Activator
CREB1,Dual
CREB3,Activator
CREB3L1,Repressor
CREB3L4,Unknown
CREB5,Dual
CREBBP,Activator
CREG1,Repressor
CREM,Dual
CRTC1,Activator
CRX,Dual
CTBP1,Repressor
CTCF,Dual
CTCFL,Activator
CTNNB1,Dual
CTNNBIP1,Unknown
CUX1,Activator
DACH1,Repressor
DAXX,Repressor
DBP,Activator
DDB1,Unknown
DDB2,Repressor
DDIT3,Dual
DDX5,Unknown
DEAF1,Repressor
DEDD,Unknown
DEK,Dual
DENND4A,Repressor
DLX3,Activator
DLX4,Repressor
DLX5,Activator
DMAP1,Unknown
DNMT1,Dual
DNMT3A,Repressor
DNMT3L,Repressor
DR1,Dual
DRAP1,Unknown
DUX4,Activator
E2F1,Dual
E2F2,Unknown
E2F3,Dual
E2F4,Dual
E2F5,Unknown
E2F6,Repressor
E2F7,Repressor
E2F8,Repressor
E4F1,Repressor
EAF1,Activator
EAPP,Dual
EBF1,Unknown
EBF3,Activator
ECD,Repressor
EED,Unknown
EGF,Unknown
EGR1,Dual
EGR2,Repressor
EGR3,Activator
EHF,Dual
EHMT2,Dual
EIF2AK2,Unknown
ELF1,Dual
ELF2,Activator
ELF3,Dual
ELF4,Dual
ELK1,Activator
ELK3,Repressor
ELK4,Activator
ELL,Repressor
EN1,Repressor
ENO1,Repressor
EOMES,Unknown
EP300,Dual
EPAS1,Activator
ERCC2,Dual
ERF,Repressor
ERG,Dual
ESR1,Dual
ESR2,Dual
ESRRA,Dual
ESRRB,Unknown
ESRRG,Activator
ETS1,Dual
ETS2,Activator
ETV1,Unknown
ETV3,Repressor
ETV4,Dual
ETV5,Activator
ETV6,Dual
ETV7,Unknown
EVX1,Repressor
EWSR1,Dual
EZH2,Dual
FHL2,Dual
FIGLA,Unknown
FLI1,Dual
FOS,Dual
FOSB,Dual
FOSL1,Repressor
FOSL2,Dual
FOXA1,Dual
